# % Erased   r^2
0   0.9410691012016194
5   0.9450975181635125
10  0.9492662637374885
15  0.954840165823525
20  0.960093147530398
25  0.9607020297015885
30  0.9659474255238565
35  0.970950038525679
40  0.9735150867866535
45  0.9761682347024537
50  0.9794766777874534
55  0.9836139552920377
60  0.9858128266667714
65  0.9920845685273683
70  0.9950402754045806
75  0.9960292052079258
80  0.9971354719623441
85  0.9993589449322425
90  0.9996146336878613
95  0.9999982353685487
