# % Erased   MeanSquaredError
0   195.50415499282306
5   187.34588735050227
10  189.17427179281864
15  167.5904134577239
20  159.86610568752263
25  162.70220420738363
30  150.60605102824292
35  132.53106869928666
40  130.3450775382814
45  124.45078192954777
50  112.31398471818515
55  94.8719409443141
60  85.87640609411348
65  53.48552498895907
70  35.71100434005104
75  30.45304023300008
80  22.873087477997174
85  5.275980426255672
90  3.083365552988717
95  0.010325883398321972
