canonical_smiles,MW,AMW
COC(=O)c1cc2c(cc1NS(C)(=O)=O)C=C[C@H]1[C@@](C)(C(=O)OC)CCC[C@]21C,421.56,7.52785714285714
Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)c(Cl)c3)n2)s1,359.92,8.5695238095238
COc1ccc2c(Cc3c(Cl)cncc3Cl)nncc2c1OCCCCCc1ccccc1,482.44,8.31793103448275
C#C[C@H](CC(=O)O)NC(=O)CN1CCc2ccc(N3CCNCC3)cc2C1=O,384.48,7.39384615384615
c1csc(-c2nnsc2-c2cccs2)c1,250.39,11.9233333333333
C[C@@H](COc1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1)c1ccccn1,565.229999999999,7.43723684210526
CCCCOC(=O)N[C@@H](CNC(=O)c1cc(OCC2CCN(C(=N)N)CC2)no1)C(=O)OC.O=C(O)C(F)(F)F,582.61,7.98095890410958
CCCOc1cc(-c2nc(-c3ccc4c(c3)CCC(=O)N4)cs2)ccc1OC,394.53,7.89059999999999
CC(C)CN1CCN(C(=O)NCCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,463.04,7.34984126984126
CCOC(=O)C(Cc1ccccc1)Nc1nc2cc(C(C)C)ccc2o1,352.47,7.04939999999999
O=C(NCc1ccccc1)N[C@@H](CNC(=O)c1ccc2c(c1)C(=O)N(CCC1CCNCC1)C2)C(=O)O,507.65,7.25214285714285
CS(=O)(=O)NC(=O)CCc1ccccc1CC1C2CCC(O2)C1c1nc(C(=O)NCCCCC2CCCCC2)co1,585.839999999999,6.97428571428571
COc1ccc(C(=O)NC(C)C(=O)NO)cc1OC1CCCC1,322.4,7.16444444444444
Cl.O=C(NCCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(CC2CCCCO2)CC1,505.079999999999,7.42764705882352
CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)s2)CC1,369.5,8.03260869565217
O=C1NCc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,488.39,9.04425925925925
C[C@H]1Oc2ccc(OCc3nc4cc(F)ccc4s3)cc2[C@H](O)[C@@H]1Cc1cccc(NS(=O)(=O)C(F)(F)F)c1,582.64,9.55147540983606
Cc1ccc(S(=O)(=O)N[C@@H](CNC(=O)c2ccc3nc(-c4ccc(C(=N)N)cc4)oc3c2)C(=O)O)cc1,521.6,8.69333333333333
CC(C)(C)Sc1c(CC(C)(C)C(=O)[O-])n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12.[Na+],609.210999999999,8.01593421052631
CCC(CC)CN1CCC(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl,511.15,7.40797101449275
c1cc(Nc2nccc(-c3ccncc3)n2)cc(OCCn2ccnc2)c1,358.44,7.96533333333333
CC1Cc2c(OCc3ccc(-c4ccccc4)cn3)ccc3c2c(c(COCCC(=O)O)n3Cc2ccc(Cl)cc2)S1,599.19,8.20808219178082
CCC(C)c1ccc(N/C=N/O)cc1,192.29,6.40966666666666
CCOC(=O)C(Cc1ccccc1)Nc1nc2cc(CC)ccc2s1,354.51,7.5427659574468
COC1(c2csc(Sc3ccc4c(c3)OCC/C4=N\OCC#N)c2)CCOCC1,430.59,8.44294117647058
COC(=O)[C@H](CC1CCCCC1)Nc1nc2ccccc2o1,302.41,6.87295454545454
COc1ccc(O)c(CCc2ccccc2)c1,228.31,6.91848484848484
CC(=O)c1c(C)c(C)c(O)c(C(CCCCCC(=O)O)c2ccc(F)cc2)c1C,400.53,6.90568965517241
CCN1CCC[C@H](C(=O)NO)[C@H]1C(=O)Nc1ccc(OCc2cc(C)nc3ccccc23)cc1,462.6,7.22812499999999
O=C(O)COc1cccc2c1CC[C@](O)(COC(=O)N(c1cccc(F)c1)c1cccc(F)c1)C2,483.5,8.33620689655172
Cl.O=C(O)CCCCCCC(CNS(=O)(=O)c1ccc(Cl)cc1)c1cccnc1,461.45,8.38999999999999
O=C(O)[C@H](CCC(=O)N1CCN(c2cccc(NC3=NCCCN3)c2)CC1)NS(=O)(=O)c1ccccc1,528.7,7.6623188405797
